物件名,平米単価,家賃,管理費・共益費,敷金,礼金,保証金,敷引・償却,部屋の特徴・設備,所在地,駅徒歩,間取り,間取り詳細,専有面積,バルコニー面積,階,向き,建物種別,構造,階建,築年数,築年月,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,契約期間,仲介手数料,保証会社,ほか初期費用,ほか諸費用,備考,URL
リモナーデ府内,1995.510102,80000,7000円,-,10万円,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、追焚機能浴室、温水洗浄便座、エレベーター、ペット相談、ネット使用料不要、複層ガラス、都市ガス、室内物干機、シューズWIC、BS、IT重説 対応物件,大分県大分市府内町１,ＪＲ日豊本線/大分駅 歩9分,1LDK,洋5 LDK10.50,40.09,-,2階,南,マンション,鉄筋コン,2階/8階建,築8年,2016年11月,要,-,即,仲介,ペット相談/事務所利用不可,452-3532819,100312306166,33戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 イントラスト 機関保証加入必須。 機関保証料は月額賃料等総額の３.４％＋800円/月(その他商品あり),合計1.86万円（内訳：ICロック電池(初回)0.209万円 鍵交換代1.65万円）,更新料　80000円　室内清掃費用　38500円　上下水道料　3300円（）　町会費　300円（）,府内町ペット可物件！（小型室内犬1匹or猫1匹、犬：敷金１ヶ月、猫：敷金2ヶ月）共用部オートロック・宅配ボックス有り！駐車場確保出来ます！インターネット無料です！（D.U-NET。回線工事後使用可）,https://suumo.jp/chintai/jnc_000088049692/?bc=100312306166
リモナーデ府内,1993.600788,81000,7000円,-,10万円,-,-,バストイレ別、バルコニー、エアコン、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、陽当り良好、シューズボックス、南向き、追焚機能浴室、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、即入居可、敷金不要、ペット相談、全居室洋室、カードキー、全居室フローリング、2沿線利用可、ネット専用回線、ネット使用料不要、3駅以上利用可、駅徒歩10分以内、都市ガス、BS、初期費用カード決済可,大分県大分市府内町１,"ＪＲ日豊本線/大分駅 歩10分
ＪＲ久大本線/古国府駅 歩29分
ＪＲ日豊本線/牧駅 歩40分",1LDK,洋5 LDK10.5,40.63,-,3階,南,マンション,鉄筋コン,3階/8階建,築8年,2017年1月,-,-,即,仲介,二人入居可/ペット相談,2643946,100319978104,35戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 機関保証料：月額総額の３．４％プラス８００円／月,-,更新料1ヵ月　水道代3300円　町会費300円,D-roomカード加入要　申し込み時必要書類あり(詳細要確認)　ペット可(小型室内犬または猫１匹。飼育時は別途ペット敷金犬１ヶ月、猫２ヶ月要)　水道代は一人当たりの金額・増員時要相談　６５歳以上の方の契約は２年の定期借家契約、機関保証の加入が必須　抗菌施工代:17600円、ファイテック:13860円、ルームクリーニング代:38500円、ALSOKロック:2200円、ICロック電池(初回) :209,https://suumo.jp/chintai/jnc_000088049694/?bc=100319978104
リモナーデ府内,2045.397855,82000,7000円,-,10万円,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、シャワー付洗面台、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、南向き、追焚機能浴室、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、敷金不要、ペット相談、全居室洋室、カードキー、ネット使用料不要、駅徒歩10分以内、敷地内ごみ置き場、都市ガス、南面バルコニー、BS,大分県大分市府内町１,"ＪＲ日豊本線/大分駅 歩10分
大分バス/トキハ前バス停 歩5分",1LDK,洋5 LDK10.5,40.09,-,4階,南,マンション,鉄筋コン,4階/8階建,築8年,2016年11月,要,-,即,仲介,ペット相談,-,100373479252,-,2024/06/24,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 機関保証加入必須,-,更新料1ヶ月、ルームクリーニング料金38500円、D-roomCardキー料金16500円、上下水道料3300円/月、ICロック電池(初回)2090円、町会費300円/月,※ペット（小型室内犬or猫1匹飼育可）飼育時、別途敷金が追加となります（小型犬+1ヶ月、猫+2ヶ月） ※家財保険加入の必要があります。 ※短期解約違約金(1年未満):賃料１ヵ月 ※電気：大和リビングの電気配給サービスを推奨します（通電手続き不要・賃料と一緒に支払い可）,https://suumo.jp/chintai/jnc_000088136130/?bc=100373479252
リモナーデ府内,2092.050209,85000,7000円,-,10万円,-,-,バストイレ別、エアコン、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、南向き、追焚機能浴室、角住戸、温水洗浄便座、脱衣所、エレベーター、即入居可、敷金不要、ペット相談、保証人不要、24時間緊急通報システム、カードキー、2沿線利用可、ネット使用料不要、保証金不要、一部フローリング、3駅以上利用可、駅徒歩10分以内、都市ガス、BS,大分県大分市府内町１,"ＪＲ日豊本線/大分駅 歩10分
ＪＲ日豊本線/西大分駅 歩38分
ＪＲ久大本線/古国府駅 歩30分",1LDK,洋5 LDK10.5,40.63,-,2階,南,マンション,鉄筋コン,2階/8階建,築8年,2017年1月,要,敷地内16500円,即,仲介,ペット相談,765,100383117171,-,2024/06/28,次回更新日は情報更新日より８日以内,-,9.35万円,保証会社利用必 月額賃料等の3.4％＋800円/月,-,-,※キャンペーンは1年未満の解約の場合、短期違約金として家賃1ヵ月分＋減額家賃分の違約金が発生します。礼金2ヵ月分要,https://suumo.jp/chintai/jnc_000081367341/?bc=100383117171
リモナーデ府内,2120.229484,85000,7000円,-,10万円,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、シャワー付洗面台、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、南向き、追焚機能浴室、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、敷金不要、ペット相談、照明付、オートバス、保証人不要、単身者相談、二人入居相談、カードキー、全居室フローリング、ネット使用料不要、24時間換気システム、複層ガラス、ペット専用設備、駅徒歩10分以内、高層階、敷地内ごみ置き場、都市ガス、3WAY洗面所、三面鏡付洗面化粧台、南面バルコニー、室内物干機、BS、IT重説 対応物件、初期費用カード決済可、家賃カード決済可、通風良好,大分県大分市府内町１,"ＪＲ日豊本線/大分駅 歩9分
大分バス/トキハ前 歩5分",1LDK,洋5 LDK10.5,40.09,-,7階,南,マンション,鉄筋コン,7階/8階建,築8年,2016年11月,要,-,24年7月上旬,仲介,二人入居可/ペット相談,84578888,100373233067,-,2024/06/28,次回更新日は情報更新日より８日以内,-,-,-,合計1.31万円（内訳：Ｄｒｏｏｍカードキー／ＩＣロック電池等）,-,機関保証加入必須／初回保証料３５０００円、月額保証料賃料等総額の１％＋８００円／月（その他商品あり）,https://suumo.jp/chintai/jnc_000089524305/?bc=100373233067
リモナーデ府内,2120.229484,85000,7000円,-,10万円,-,-,バストイレ別、エアコン、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、南向き、追焚機能浴室、温水洗浄便座、脱衣所、エレベーター、即入居可、敷金不要、ペット相談、保証人不要、24時間緊急通報システム、カードキー、2沿線利用可、ネット使用料不要、保証金不要、一部フローリング、3駅以上利用可、駅徒歩10分以内、都市ガス、BS,大分県大分市府内町１,"ＪＲ日豊本線/大分駅 歩10分
ＪＲ日豊本線/西大分駅 歩38分
ＪＲ久大本線/古国府駅 歩30分",1LDK,洋5 LDK10.5,40.09,-,2階,南,マンション,鉄筋コン,2階/8階建,築8年,2017年1月,要,-,即,仲介,ペット相談,765,100383117165,-,2024/06/28,次回更新日は情報更新日より８日以内,-,9.35万円,保証会社利用必 月額賃料等総額の3.4％＋800円/月,-,-,※キャンペーンは1年未満の解約の場合、短期違約金として家賃1ヵ月分＋減額家賃分の違約金が発生します。礼金2ヵ月分要,https://suumo.jp/chintai/jnc_000079573415/?bc=100383117165
九信ビル,1041.666667,30000,3000円,-,-,-,-,バルコニー、エアコン、フローリング、洗面化粧台、都市ガス、シャワールーム,大分県大分市府内町２,ＪＲ日豊本線/大分駅 歩14分,1DK,-,28.8,-,5階,東,マンション,鉄筋コン,5階/5階建,築46年,1979年1月,要,-,相談,仲介,フリーレント1ヶ月,106630506,100370512060,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２７，６８０円　更新無,合計4.07万円（内訳：鍵交換代16500円/清掃費24200円）,安心サポート1600円/月,-,https://suumo.jp/chintai/jnc_000089144015/?bc=100370512060
九信ビル,1273.88535,30000,3000円,-,-,-,-,バルコニー、エアコン、フローリング、温水洗浄便座、洗面化粧台、都市ガス、シャワールーム,大分県大分市府内町２,ＪＲ日豊本線/大分駅 歩14分,1DK,-,23.55,-,3階,東,マンション,鉄筋コン,3階/5階建,築46年,1979年1月,要,-,相談,仲介,フリーレント1ヶ月,106630302,100331225087,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２７，６８０円　更新無,合計4.07万円（内訳：鍵交換代16500円/清掃費24200円）,安心サポート1600円/月,-,https://suumo.jp/chintai/jnc_000083069803/?bc=100331225087
九信ビル,1273.88535,30000,3000円,-,-,-,-,バルコニー、エアコン、フローリング、洗面化粧台、都市ガス、シャワールーム,大分県大分市府内町２,ＪＲ日豊本線/大分駅 歩14分,ワンルーム,-,23.55,-,3階,東,マンション,鉄筋コン,3階/5階建,築46年,1979年1月,要,-,相談,仲介,フリーレント1ヶ月,106630304,100331225079,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２７，６８０円　更新無,合計4.07万円（内訳：鍵交換代16500円/清掃費24200円）,安心サポート1600円/月,-,https://suumo.jp/chintai/jnc_000083069804/?bc=100331225079
九信ビル,1273.88535,30000,3000円,-,-,-,-,バルコニー、エアコン、フローリング、室内洗濯置、洗面化粧台、都市ガス、シャワールーム,大分県大分市府内町２,ＪＲ日豊本線/大分駅 歩14分,1DK,-,23.55,-,5階,東,マンション,鉄筋コン,5階/5階建,築46年,1979年1月,要,-,相談,仲介,フリーレント1ヶ月,106630505,100371605813,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２７，６８０円　更新無,合計4.07万円（内訳：鍵交換代16500円/清掃費24200円）,安心サポート1600円/月,-,https://suumo.jp/chintai/jnc_000089300630/?bc=100371605813
九信ビル,1273.88535,30000,3000円,-,-,-,-,バルコニー、エアコン、フローリング、洗面化粧台、都市ガス、シャワールーム,大分県大分市府内町２,ＪＲ日豊本線/大分駅 歩14分,ワンルーム,-,23.55,-,4階,東,マンション,鉄筋コン,4階/5階建,築46年,1979年1月,要,-,相談,仲介,-,106630405,100384871313,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２７，６８０円　更新無,合計4.07万円（内訳：鍵交換代16500円/清掃費24200円）,安心サポート1600円/月,-,https://suumo.jp/chintai/jnc_000091169162/?bc=100384871313
アクアビル,1030.769231,67000,6000円,-,-,-,-,バストイレ別、バルコニー、クロゼット、室内洗濯置、エレベーター、洗面所独立、洗面化粧台、CATV、ネット使用料不要、都市ガス,大分県大分市府内町２,ＪＲ日豊本線/大分駅 歩16分,2LDK,-,65,-,4階,東,マンション,鉄筋コン,4階/5階建,築34年,1990年7月,要,-,相談,仲介,-,106000402,100386657274,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　５９，６８０円　更新無,合計10.96万円（内訳：鍵交換代17600円/清掃費35200円/その他初期費用56760円）,安心サポート1600円/月,-,https://suumo.jp/chintai/jnc_000091428284/?bc=100386657274
府内ビル,1227.639425,35000,2000円,-,-,-,-,バストイレ別、エアコン、TVインターホン、浴室乾燥機、室内洗濯置、温水洗浄便座、CATV、即入居可、最上階、2沿線利用可、フリーレント、一部フローリング、3駅以上利用可、上階無し、全居室8畳以上、都市ガス、敷金・礼金不要,大分県大分市府内町３,"ＪＲ日豊本線/大分駅 歩11分
ＪＲ日豊本線/西大分駅 歩26分
ＪＲ久大本線/古国府駅 歩30分",ワンルーム,洋10,28.51,-,4階,東,アパート,鉄筋コン,4階/4階建,築59年,1965年11月,-,-,即,仲介,フリーレント1ヶ月 フリーレント適用の場合は入居パック（鍵交換・抗菌施工）が必須です,484,100372195721,-,2024/06/28,次回更新日は情報更新日より１５日以内,-,3.85万円,保証会社利用必 月額賃料総額の80％,-,-,退去時メンテ代要22000円（税別）,https://suumo.jp/chintai/jnc_000014855565/?bc=100372195721
